product_id,sku,product_name,category_id,supplier_id,unit_price,unit_cost,currency,created_at,is_active
1,SKU-F1P4CDYJ,noise cancelling headphones,19,17,67.0,35.93,USD,2023-03-07,True
2,SKU-SGNACVA1,TRIPOD,2,9,32.98,17.24,MAD,2022-11-09,True
3,SKU-VF1X8ZT1,ROUTER,13,16,27.31,22.76,EUR,2022-11-25,True
4,SKU-M1WB5U7H,ROUTER,4,36,4.84,4.03,USD,2025-05-17,True
5,SKU-2YMFNKYC,webcam,13,29,34.09,24.09,USD,2025-04-02,True
6,SKU-6P1UAZ61,SSD DRIVE,1,35,7.34,5.56,MAD,2024-01-11,True
7,SKU-TXHNQSRP,Laptop Sleeve,18,24,108.08,45.82,GBP,2024-03-05,False
8,SKU-TN6HL7ZV,desk lamp,18,17,4.05,2.0,USD,2023-08-14,True
9,SKU-KASCTBC3,Wireless Mouse,10,34,57.82,23.42,USD,2023-04-21,True
10,SKU-8TMWKCU0,LAPTOP STAND,12,16,55.34,25.61,EUR,2025-08-22,True
11,SKU-Y3SKFUZN,gaming keyboard,12,33,17.51,11.53,EUR,2024-01-18,True
12,SKU-K5203RWH,COFFEE MUG,11,9,16.43,12.22,USD,2025-03-05,True
13,SKU-YZBYP02R,Portable Charger,19,15,22.52,18.77,EUR,2025-04-07,True
14,SKU-5O0YVIQH,Bluetooth Speaker,15,22,36.1,28.84,USD,2024-04-30,True
15,SKU-QV6LEUC7,Bluetooth Speaker,14,10,64.17,34.85,EUR,2024-04-24,True
16,SKU-ZJKLUZ3V,4K Monitor,10,6,34.84,15.81,USD,2023-10-10,True
17,SKU-MGKGH7H3,hdmi adapter,16,1,48.97,28.73,EUR,2024-12-11,False
18,SKU-1AG94O8R,laptop sleeve,14,1,60.04,27.25,USD,2024-12-22,True
19,SKU-1YF2JSVO,4K MONITOR,6,40,2.4,2.0,USD,2023-11-14,True
20,SKU-QANSJJVU,Coffee Mug,5,12,14.69,12.24,USD,2023-10-27,True
21,SKU-9A2Q429E,Laptop Sleeve,6,34,59.16,35.31,EUR,2024-05-29,True
22,SKU-X66WDYLV,4k monitor,20,10,39.76,18.85,MAD,2022-11-24,True
23,SKU-634EAXV5,PHONE CASE,20,35,33.43,22.08,USD,2024-07-10,True
24,SKU-LINBO40C,portable charger,19,18,39.02,32.52,USD,2024-11-24,True
25,SKU-DNWBUKPL,water bottle,16,2,51.81,33.61,EUR,2024-10-04,True
26,SKU-5JBKA06P,SSD Drive,19,2,29.71,20.83,USD,2023-03-06,True
27,SKU-3BW0VKCO,COFFEE MUG,17,37,23.51,14.35,EUR,2024-07-14,True
28,SKU-G6YEX6A5,PORTABLE CHARGER,10,29,48.19,16.42,USD,2023-10-08,True
29,SKU-XSDNX085,wireless mouse,1,33,29.25,20.16,MAD,2022-12-13,True
30,SKU-SY7OV9DR,Portable Charger,13,26,9.49,6.6,USD,2024-10-23,True
31,SKU-5BXHWDRR,DESK LAMP,4,32,57.79,25.39,USD,2025-06-04,True
32,SKU-Y0DBJLSV,Laptop Stand,15,13,54.21,28.23,EUR,2022-12-25,True
33,SKU-HV266VMO,laptop stand,12,39,28.53,15.81,USD,2023-04-17,True
34,SKU-GLZKIICY,PORTABLE CHARGER,7,28,46.08,38.4,EUR,2023-05-27,False
35,SKU-6JFZLH2T,COFFEE MUG,2,17,81.02,35.35,GBP,2025-08-04,True
36,SKU-6SLP2M3I,PORTABLE CHARGER,18,35,34.03,17.8,EUR,2024-08-25,False
37,SKU-J67BYJLO,noise cancelling headphones,12,38,44.04,22.38,USD,2025-03-17,True
38,SKU-6NYYUTC6,PORTABLE CHARGER,5,16,44.27,27.62,GBP,2023-09-23,True
39,SKU-3ASWIX0F,Tripod,6,8,44.64,17.89,EUR,2023-04-26,True
40,SKU-XE9HNXEP,PHONE CASE,13,25,18.57,11.65,USD,2024-04-23,True
41,SKU-JMD2E6G9,Fitness Tracker,17,18,30.49,14.33,USD,2023-04-08,True
42,SKU-0JIE3PLF,GAMING KEYBOARD,17,14,18.65,15.53,USD,2022-12-15,True
43,SKU-K9J1GGTD,Wireless Mouse,17,28,31.71,21.28,GBP,2023-05-23,True
44,SKU-60DIMS28,tripod,20,38,59.26,32.6,GBP,2025-04-24,False
45,SKU-GY40247H,coffee mug,12,27,66.36,37.64,EUR,2024-08-28,True
46,SKU-JVK5BA0Z,hdmi adapter,1,34,4.46,2.0,EUR,2023-06-24,True
47,SKU-EM1LWJTZ,Portable Charger,13,9,27.13,16.69,EUR,2025-05-28,True
48,SKU-YSAV86C5,BLUETOOTH SPEAKER,1,21,3.26,2.0,GBP,2023-05-10,True
49,SKU-JQVWQDJC,phone case,7,13,13.93,7.03,USD,2022-11-22,True
50,SKU-BOCCHUHO,webcam,1,40,3.85,2.0,USD,2022-12-04,True
51,SKU-NWN72JVO,laptop stand,9,4,79.75,39.74,EUR,2025-04-19,True
52,SKU-GRSKLVOE,hdmi adapter,17,5,49.54,23.38,EUR,2023-10-01,True
53,SKU-G60L0BMH,Desk Lamp,12,8,15.3,8.02,USD,2023-11-07,True
54,SKU-E8LLZMOH,Bluetooth Speaker,2,7,48.03,27.5,GBP,2024-11-20,True
55,SKU-LYQJMJ6H,gaming keyboard,2,21,32.47,17.03,EUR,2024-08-13,True
56,SKU-MYDKFQEH,webcam,9,33,79.25,38.39,USD,2023-03-30,True
57,SKU-1FL2UERH,BLUETOOTH SPEAKER,16,7,6.03,3.3,GBP,2023-04-02,True
58,SKU-M1DXC9HZ,ssd drive,16,25,40.62,22.73,EUR,2024-10-24,True
59,SKU-QXKJ83LZ,Wireless Mouse,5,13,49.78,25.16,USD,2025-06-28,False
60,SKU-SIAIFE9P,tripod,5,6,5.88,3.25,USD,2023-09-01,True
